SampleID;Line;Spot;SpotID;Ce/Ce*;Ce/Ce**;La/La*;Pr/Pr*;Eu/Eu*;LaN/SmN;LaN/NdN;LaN/DyN;LaN/YbN;NdN/DyN;NdN/YbN;GdN/DyN;GdN/YbN;DyN/SmN;DyN/YbN;Sr/Ba;Mn/U;Y/Ho;U/Th
SF001;L1;12;S-1F_Ap12;0.34571024589205196;1.8091506144732803;11.787136107425816;0.7502198151796493;1.0360532746580389;7.453177865702604;6.467965973075519;0.5512546591460563;0.297930153427454;0.08522844143596114;0.046062418180253376;0.3949675575548062;0.21346349290445182;13.520389790896742;0.5404582954255207;23.174616264668092;0.8867641507131472;62.8242078990838;27906.42343430785
SF002;L1;1;S-2F_Ap1;0.5972558412107861;0.7377480708006681;1.5172652202200927;1.1366804314226553;0.9680454872875672;1.1227722841280146;1.16850164566192;0.9045453419893644;1.76338027049375;0.7741070330088987;1.5090952392239463;1.1288357752227245;2.2006268146574293;1.2412559459525867;1.949465868251062;23.527400641288754;2.5683319898878705;41.01112008054714;28.75780966937274
SF002;L1;2;S-2F_Ap2;0.585805843754232;0.8069301247787767;1.865364252391638;1.093626084270559;0.961667518874902;1.2379048586398125;1.2964682564445245;0.8855171587870458;1.7168576403995681;0.6830226304310112;1.3242573675563278;1.0574203296101208;2.0501468029052083;1.397945648320871;1.9388191672663542;26.277966624410997;1.725190741290726;42.49799111250347;547.7601514311087
SF002;L1;3;S-2F_Ap3;0.611212061762659;0.896475716977793;2.0818710653818333;1.0476877004136027;0.9654823219621763;1.3730881048239978;1.4094691240221722;0.8472667514686827;1.5140377102636822;0.6011247334392509;1.0741900510336153;0.9952017511407003;1.7783926702370632;1.6206089787470563;1.786966982522558;25.461424782115863;1.060268387856092;44.615574990632005;3441.3510432492753
SF002;L1;4;S-2F_Ap4;0.6514107069452043;1.0118725089767704;2.276109549766743;0.9947867323642071;0.9580792862219474;1.4817515770741052;1.5598407558859326;0.8175380330186124;1.3227885281478058;0.5241163432444619;0.8480279305155801;0.9347961414574106;1.5125138674111627;1.8124558335261831;1.6180146668695603;23.260779926497317;1.3564610002733655;46.58581052831694;5730.16908387886
SF002;L1;5;S-2F_Ap5;0.6504732152865871;1.0797361663724536;2.4900700977677435;0.9654554285034584;0.973178996853136;1.681811222707075;1.7954054032714917;0.7840545275201561;1.145449875705521;0.43670055024424786;0.6379895446556768;0.8792883762037104;1.284579995242687;2.145018189010891;1.460931396351224;23.53713551724553;1.2308471600541473;47.16887724307664;7425.9544172029255
SF002;L1;6;S-2F_Ap6;0.6591514653529014;1.350682489418407;3.6952025978179526;0.8744720006745285;0.9665889746642718;1.8519716030834856;1.9936268062675695;0.7594478653182706;1.0216733565371823;0.38093782794789693;0.5124697126489486;0.8058891171584321;1.0841500475862014;2.438576349552788;1.3452843877690248;22.35003385866246;1.246540326537806;48.88978307333278;10695.776230518544
SF002;L1;7;S-2F_Ap7;0.6518131559042197;1.3018882176586004;3.323638405947017;0.883217209732267;0.9662860959165224;2.0135547401042104;2.2235017409974405;0.7422095281628875;0.9139418231876106;0.3338020899547125;0.4110371520454153;0.7945978574584204;0.9784517538383586;2.71291955128648;1.2313798038268169;22.5014224391404;0.9553381507624208;50.315239630745715;11941.052366449047
SF002;L1;9;S-2F_Ap9;0.6093443312993707;1.4301572935232758;4.217484515950549;0.8438915991847926;1.0062156735685868;2.5912158011287043;2.66452019526537;0.6998749245567922;0.7423841771797681;0.2626645224158599;0.2786183337994296;0.6772778564388976;0.7184146002842938;3.7023984003565156;1.0607383564283228;22.39819156440241;0.9187580547436364;53.00047014009604;19528.627776435318
SF002;L1;10;S-2F_Ap10;0.5503551342319104;1.5215692234209912;5.300425400492232;0.8189087671788999;1.0169655989623207;3.150775420563846;3.2019681648665204;0.6756576518088901;0.6201310876939988;0.21101323218091897;0.19367184674050317;0.6082737244723678;0.5582848730608664;4.6632720167210415;0.9178184928917272;23.395403919974807;0.8621069097936401;55.79522727757423;21347.484976107204
SF002;L1;11;S-2F_Ap11;0.5043482101502005;1.5891390722767857;6.101642231976265;0.7970389534341452;0.9910819857983091;3.791482721502348;3.9167464939782883;0.6466571769443694;0.5188065071733371;0.16510059508282132;0.13245853617816833;0.5517520834850372;0.4426651113826723;5.863203652077493;0.8022898773424871;23.458735539288334;0.7959033486681729;58.0450028461849;26174.054475177072
SF002;L1;12;S-2F_Ap12;0.421660940097877;1.637629127633828;8.130299840956761;0.788856172803466;0.9854521055508492;4.775697513127205;4.757738561036773;0.6213473955777221;0.4454621039183595;0.13059721285785034;0.09362895800253629;0.5024070395535272;0.3601902871980638;7.686034490716442;0.7169292204148915;24.805864762032943;1.0537925586877295;58.32357261130914;16999.403847336747
SF003;L4;11;S-3F_Ap67;0.6092204013995619;1.3919041464152264;4.510018206513305;0.8661452722303591;0.9754354793621753;1.8440211258680501;2.149512624009323;0.4095211922605347;0.42374421693025505;0.19051816104093675;0.1971350213053772;0.5590713305997287;0.5784883607254726;4.502871061908063;1.0347308636000254;28.835424216139554;1.5257008926586169;46.94753368477553;4605.280780831038
