SampleID;Line;Spot;SpotID;Genus;Locality;skeletPart;tissueType;mmThickness;thickClass;mmDist;maxDist;profilePerc
TS015;L1;5;T15-L1-5;Tarbosaurus;Altan Uul;rib;Cortex;10.797889722675759;mid;1.852870045;19.13102213;9.685159697214777
TS015;L1;6;T15-L1-6;Tarbosaurus;Altan Uul;rib;Cortex;10.797889722675759;mid;2.185905373;19.13102213;11.425972737610335
TS015;L1;7;T15-L1-7;Tarbosaurus;Altan Uul;rib;Cortex;10.797889722675759;mid;2.35980924;19.13102213;12.334987769939922
TS015;L1;8;T15-L1-8;Tarbosaurus;Altan Uul;rib;Cortex;10.797889722675759;mid;2.589898938;19.13102213;13.537692447382058
TS015;L1;9;T15-L1-9;Tarbosaurus;Altan Uul;rib;Cortex;10.797889722675759;mid;2.877061182;19.13102213;15.038721728769437
TS016;L1;1;T16_L1-1;Tarbosaurus;Tsagan Khushuu;tibia;Cortex;15.32926789425569;mid;0.097699332;14.83325255;0.6586507690789637
TS016;L1;2;T16_L1-2;Tarbosaurus;Tsagan Khushuu;tibia;Cortex;15.32926789425569;mid;0.50292041;14.83325255;3.3904931390115114
TS016;L1;3;T16_L1-3;Tarbosaurus;Tsagan Khushuu;tibia;Cortex;15.32926789425569;mid;1.035445541;14.83325255;6.980569753732131
TS016;L1;4;T16_L1-4;Tarbosaurus;Tsagan Khushuu;tibia;Cortex;15.32926789425569;mid;1.52925537;14.83325255;10.309642911055269
TS016;L1;5;T16_L1-5;Tarbosaurus;Tsagan Khushuu;tibia;Cortex;15.32926789425569;mid;2.051116601;14.83325255;13.827827673573859
TS016;L1;6;T16_L1-6;Tarbosaurus;Tsagan Khushuu;tibia;Cortex;15.32926789425569;mid;2.482768762;14.83325255;16.737858090335017
TS016;L1;7;T16_L1-7;Tarbosaurus;Tsagan Khushuu;tibia;Cortex;15.32926789425569;mid;2.992036617;14.83325255;20.171143226439572
TS020;L1;1;T-20-1_Ap1;Tarbosaurus;Nemegt;tibia;Cortex;39.410960270731394;long;0.175853442;28.72226057;0.6122548800482525
TS020;L1;2;T-20-1_Ap2;Tarbosaurus;Nemegt;tibia;Cortex;39.410960270731394;long;0.675865018;28.72226057;2.3531052381926076
